position,reads_at_position,mean_quality,median_quality,q20_percent,q30_percent
1,4986,36.3851,37.0000,98.7365,96.3498
2,4986,36.0413,37.0000,98.1548,94.2238
3,4986,35.9876,37.0000,98.2351,93.6221
4,4986,36.0610,37.0000,98.1749,94.3041
5,4986,36.1171,37.0000,98.3353,94.5848
6,4986,36.0317,37.0000,98.1548,94.0834
7,4986,36.3851,37.0000,98.9771,96.0690
8,4986,36.4059,37.0000,98.9370,96.2896
9,4986,36.4525,37.0000,98.9771,96.6306
10,4986,36.4220,37.0000,99.0172,96.3297
11,4986,36.4745,37.0000,99.1175,96.6506
12,4986,36.4801,37.0000,99.0373,96.7910
13,4986,36.5255,37.0000,99.1376,97.0517
14,4986,36.5580,37.0000,99.3181,97.1119
15,4986,36.5311,37.0000,99.2980,96.9114
16,4986,36.5451,37.0000,99.3983,96.9114
17,4986,36.5487,37.0000,99.3381,97.0116
18,4986,36.5507,37.0000,99.1978,97.1921
19,4986,36.5764,37.0000,99.2780,97.3125
20,4986,36.5880,37.0000,99.4986,97.1520
21,4986,36.5732,37.0000,99.3582,97.1921
22,4986,36.5540,37.0000,99.2379,97.1721
23,4986,36.4384,37.0000,98.8769,96.6306
24,4986,36.5884,37.0000,99.3983,97.2724
25,4986,36.5620,37.0000,99.3983,97.0517
26,4986,36.5327,37.0000,99.2579,96.9715
27,4986,36.3811,37.0000,98.8969,96.1292
28,4986,36.5178,37.0000,99.2379,96.8712
29,4986,36.4962,37.0000,99.2379,96.6907
30,4986,36.5925,37.0000,99.2379,97.4930
31,4986,36.5451,37.0000,99.2780,97.0517
32,4986,36.5271,37.0000,99.3381,96.8311
33,4986,36.5146,37.0000,99.0774,97.0317
34,4986,36.5014,37.0000,99.1376,96.8512
35,4986,36.5672,37.0000,99.2980,97.2122
36,4986,36.4485,37.0000,99.1376,96.4099
37,4986,36.5531,37.0000,99.3181,97.0718
38,4986,36.5207,37.0000,99.2579,96.8712
39,4986,36.4838,37.0000,98.9771,96.8913
40,4986,36.4773,37.0000,99.0172,96.7910
41,4986,36.4232,37.0000,98.9571,96.4099
42,4986,36.5030,37.0000,99.0975,96.9114
43,4986,36.4224,37.0000,98.7966,96.5905
44,4986,36.5203,37.0000,99.2379,96.8913
45,4986,36.3823,37.0000,98.7164,96.3498
46,4986,36.4533,37.0000,99.0172,96.5905
47,4986,36.4236,37.0000,98.9771,96.3899
48,4986,36.4970,37.0000,99.0373,96.9314
49,4986,36.4645,37.0000,99.0975,96.5905
50,4986,36.3839,37.0000,98.7966,96.2696
51,4986,36.3422,37.0000,98.7565,95.9687
52,4986,36.4898,37.0000,99.1576,96.7308
53,4986,36.6057,37.0000,99.4184,97.3927
54,4986,36.4685,37.0000,98.9370,96.8111
55,4986,36.4737,37.0000,99.1978,96.5503
56,4986,36.4160,37.0000,98.9571,96.3498
57,4986,36.4838,37.0000,99.2178,96.6105
58,4986,36.4288,37.0000,98.9972,96.4099
59,4986,36.4922,37.0000,99.1576,96.7509
60,4986,36.4846,37.0000,99.1376,96.7108
61,4986,36.5223,37.0000,99.3381,96.7910
62,4986,36.4601,37.0000,99.1175,96.5303
63,4986,36.4124,37.0000,98.8969,96.3899
64,4986,36.4196,37.0000,99.0172,96.3097
65,4986,36.3923,37.0000,98.8568,96.2696
66,4986,36.4252,37.0000,99.0574,96.3097
67,4986,36.4312,37.0000,99.1175,96.2896
68,4986,36.4244,37.0000,99.0172,96.3498
69,4986,36.3650,37.0000,98.9370,95.9487
70,4986,36.4192,37.0000,98.9972,96.3297
71,4986,36.4047,37.0000,98.8769,96.3498
72,4986,36.4805,37.0000,99.0574,96.7710
73,4986,36.4336,37.0000,98.9972,96.4501
74,4986,36.4063,37.0000,98.9571,96.2696
75,4986,36.4015,37.0000,98.9571,96.2294
76,4986,36.3871,37.0000,98.8367,96.2495
77,4986,36.4549,37.0000,99.0975,96.5102
78,4985,36.4134,37.0000,98.8365,96.4694
79,4983,36.4417,37.0000,99.1772,96.3074
80,4983,36.4602,37.0000,99.0167,96.6486
81,4981,36.3969,37.0000,98.9962,96.1454
82,4979,36.3710,37.0000,98.9154,96.0233
83,4978,36.3708,37.0000,98.9152,96.0225
84,4978,36.3580,37.0000,98.7545,96.1029
85,4972,36.4517,37.0000,99.1352,96.4401
86,4970,36.3247,37.0000,98.7123,95.8753
87,4968,36.3627,37.0000,98.8124,96.0749
88,4965,36.3547,37.0000,98.9124,95.8912
89,4963,36.4777,37.0000,99.1537,96.6351
90,4963,36.5720,37.0000,99.2746,97.2799
91,4963,36.3657,37.0000,98.8717,96.0306
92,4961,36.3396,37.0000,98.9115,95.7670
93,4958,36.2646,37.0000,98.6890,95.4014
94,4958,36.3828,37.0000,98.7898,96.2687
95,4958,36.4316,37.0000,98.9310,96.5107
96,4958,36.3304,37.0000,98.8302,95.7846
97,4958,36.3397,37.0000,98.8100,95.8854
98,4955,36.2581,37.0000,98.7487,95.2775
99,4950,36.3087,37.0000,98.7677,95.6768
100,4898,36.5272,37.0000,100.0000,96.0596
