position,reads_at_position,mean_quality,median_quality,q20_percent,q30_percent
1,5000,36.3868,37.0000,98.7400,96.3600
2,5000,36.0388,37.0000,98.1400,94.2200
3,5000,35.9856,37.0000,98.2400,93.6000
4,5000,36.0612,37.0000,98.1800,94.3000
5,5000,36.1196,37.0000,98.3400,94.6000
6,5000,36.0292,37.0000,98.1400,94.0800
7,5000,36.3816,37.0000,98.9600,96.0600
8,5000,36.4076,37.0000,98.9400,96.3000
9,5000,36.4488,37.0000,98.9600,96.6200
10,5000,36.4212,37.0000,99.0200,96.3200
11,5000,36.4760,37.0000,99.1200,96.6600
12,5000,36.4792,37.0000,99.0400,96.7800
13,5000,36.5268,37.0000,99.1400,97.0600
14,5000,36.5592,37.0000,99.3200,97.1200
15,5000,36.5324,37.0000,99.3000,96.9200
16,5000,36.5336,37.0000,99.3600,96.8600
17,5000,36.5476,37.0000,99.3400,97.0000
18,5000,36.5496,37.0000,99.2000,97.1800
19,5000,36.5752,37.0000,99.2800,97.3000
20,5000,36.5892,37.0000,99.5000,97.1600
21,5000,36.5720,37.0000,99.3600,97.1800
22,5000,36.5528,37.0000,99.2400,97.1600
23,5000,36.4400,37.0000,98.8800,96.6400
24,5000,36.5896,37.0000,99.4000,97.2800
25,5000,36.5608,37.0000,99.4000,97.0400
26,5000,36.5340,37.0000,99.2600,96.9800
27,5000,36.3828,37.0000,98.9000,96.1400
28,5000,36.5192,37.0000,99.2400,96.8800
29,5000,36.4976,37.0000,99.2400,96.7000
30,5000,36.5936,37.0000,99.2400,97.5000
31,5000,36.5388,37.0000,99.2600,97.0200
32,5000,36.5284,37.0000,99.3400,96.8400
33,5000,36.5112,37.0000,99.0800,97.0000
34,5000,36.5028,37.0000,99.1400,96.8600
35,5000,36.5684,37.0000,99.3000,97.2200
36,5000,36.4448,37.0000,99.1200,96.4000
37,5000,36.5544,37.0000,99.3200,97.0800
38,5000,36.5220,37.0000,99.2600,96.8800
39,5000,36.4852,37.0000,98.9800,96.9000
40,5000,36.4788,37.0000,99.0200,96.8000
41,5000,36.4248,37.0000,98.9600,96.4200
42,5000,36.5020,37.0000,99.1000,96.9000
43,5000,36.4240,37.0000,98.8000,96.6000
44,5000,36.5216,37.0000,99.2400,96.9000
45,5000,36.3840,37.0000,98.7200,96.3600
46,5000,36.4548,37.0000,99.0200,96.6000
47,5000,36.4252,37.0000,98.9800,96.4000
48,5000,36.4984,37.0000,99.0400,96.9400
49,5000,36.4660,37.0000,99.1000,96.6000
50,5000,36.3856,37.0000,98.8000,96.2800
51,5000,36.3440,37.0000,98.7600,95.9800
52,5000,36.4860,37.0000,99.1400,96.7200
53,5000,36.6068,37.0000,99.4200,97.4000
54,5000,36.4700,37.0000,98.9400,96.8200
55,5000,36.4752,37.0000,99.2000,96.5600
56,5000,36.4152,37.0000,98.9600,96.3400
57,5000,36.4852,37.0000,99.2200,96.6200
58,5000,36.4304,37.0000,99.0000,96.4200
59,5000,36.4936,37.0000,99.1600,96.7600
60,5000,36.4860,37.0000,99.1400,96.7200
61,5000,36.5184,37.0000,99.3200,96.7800
62,5000,36.4568,37.0000,99.1200,96.5000
63,5000,36.4092,37.0000,98.9000,96.3600
64,5000,36.4212,37.0000,99.0200,96.3200
65,5000,36.3940,37.0000,98.8600,96.2800
66,5000,36.4268,37.0000,99.0600,96.3200
67,5000,36.4328,37.0000,99.1200,96.3000
68,5000,36.4260,37.0000,99.0200,96.3600
69,5000,36.3644,37.0000,98.9400,95.9400
70,5000,36.4184,37.0000,99.0000,96.3200
71,5000,36.4064,37.0000,98.8800,96.3600
72,5000,36.4820,37.0000,99.0600,96.7800
73,5000,36.4352,37.0000,99.0000,96.4600
74,5000,36.4080,37.0000,98.9600,96.2800
75,5000,36.4008,37.0000,98.9600,96.2200
76,5000,36.3888,37.0000,98.8400,96.2600
77,5000,36.4540,37.0000,99.1000,96.5000
78,5000,36.4152,37.0000,98.8400,96.4800
79,5000,36.4436,37.0000,99.1800,96.3200
80,5000,36.4620,37.0000,99.0200,96.6600
81,5000,36.3992,37.0000,99.0000,96.1600
82,5000,36.3712,37.0000,98.9200,96.0200
83,5000,36.3736,37.0000,98.9200,96.0400
84,5000,36.3608,37.0000,98.7600,96.1200
85,5000,36.4548,37.0000,99.1400,96.4600
86,5000,36.3236,37.0000,98.7000,95.8800
87,5000,36.3644,37.0000,98.8200,96.0800
88,5000,36.3568,37.0000,98.9200,95.9000
89,5000,36.4816,37.0000,99.1600,96.6600
90,5000,36.5728,37.0000,99.2800,97.2800
91,5000,36.3704,37.0000,98.8800,96.0600
92,5000,36.3424,37.0000,98.9200,95.7800
93,5000,36.2708,37.0000,98.7000,95.4400
94,5000,36.3880,37.0000,98.8000,96.3000
95,5000,36.4340,37.0000,98.9400,96.5200
96,5000,36.3336,37.0000,98.8400,95.8000
97,5000,36.3452,37.0000,98.8200,95.9200
98,5000,36.2492,37.0000,98.7000,95.2600
99,5000,36.2640,37.0000,98.6000,95.5000
100,5000,36.2224,37.0000,98.8000,94.9200
