read_id,original_length,post_quality_length,post_adapter_length,final_length,quality_bases_removed,adapter_bases_removed,total_bases_removed,status
SRR13921545.1,100,100,100,100,0,0,0,retained
SRR13921545.2,100,100,100,100,0,0,0,retained
SRR13921545.3,100,100,100,100,0,0,0,retained
SRR13921545.4,100,100,100,100,0,0,0,retained
SRR13921545.5,100,100,100,100,0,0,0,retained
SRR13921545.6,100,100,100,100,0,0,0,retained
SRR13921545.7,100,100,100,100,0,0,0,retained
SRR13921545.8,100,100,100,100,0,0,0,retained
SRR13921545.9,100,100,100,100,0,0,0,retained
SRR13921545.10,100,100,100,100,0,0,0,retained
SRR13921545.11,100,100,100,100,0,0,0,retained
SRR13921545.12,100,100,100,100,0,0,0,retained
SRR13921545.13,100,100,100,100,0,0,0,retained
SRR13921545.14,100,100,100,100,0,0,0,retained
SRR13921545.15,100,100,100,100,0,0,0,retained
SRR13921545.16,100,100,100,100,0,0,0,retained
SRR13921545.17,100,100,100,100,0,0,0,retained
SRR13921545.18,100,100,100,100,0,0,0,retained
SRR13921545.19,100,100,100,100,0,0,0,retained
SRR13921545.20,100,100,100,100,0,0,0,retained
SRR13921545.21,100,100,100,100,0,0,0,retained
SRR13921545.22,100,100,100,100,0,0,0,retained
SRR13921545.23,100,100,100,100,0,0,0,retained
SRR13921545.24,100,100,100,100,0,0,0,retained
SRR13921545.25,100,100,100,100,0,0,0,retained
SRR13921545.26,100,100,100,100,0,0,0,retained
SRR13921545.27,100,100,100,100,0,0,0,retained
SRR13921545.28,100,100,100,100,0,0,0,retained
SRR13921545.29,100,100,100,100,0,0,0,retained
SRR13921545.30,100,100,100,100,0,0,0,retained
SRR13921545.31,100,100,100,100,0,0,0,retained
SRR13921545.32,100,100,100,100,0,0,0,retained
SRR13921545.33,100,100,100,100,0,0,0,retained
SRR13921545.34,100,100,100,100,0,0,0,retained
SRR13921545.35,100,100,100,100,0,0,0,retained
SRR13921545.36,100,100,100,100,0,0,0,retained
SRR13921545.37,100,100,100,100,0,0,0,retained
SRR13921545.38,100,100,100,100,0,0,0,retained
SRR13921545.39,100,100,100,100,0,0,0,retained
SRR13921545.40,100,100,100,100,0,0,0,retained
SRR13921545.41,100,100,100,100,0,0,0,retained
SRR13921545.42,100,100,100,100,0,0,0,retained
SRR13921545.43,100,100,100,100,0,0,0,retained
SRR13921545.44,100,100,100,100,0,0,0,retained
SRR13921545.45,100,100,100,100,0,0,0,retained
SRR13921545.46,100,100,100,100,0,0,0,retained
SRR13921545.47,100,100,100,100,0,0,0,retained
SRR13921545.48,100,100,100,100,0,0,0,retained
SRR13921545.49,100,100,100,100,0,0,0,retained
SRR13921545.50,100,100,100,100,0,0,0,retained
SRR13921545.51,100,100,100,100,0,0,0,retained
SRR13921545.52,100,100,100,100,0,0,0,retained
SRR13921545.53,100,100,100,100,0,0,0,retained
SRR13921545.54,100,100,100,100,0,0,0,retained
SRR13921545.55,100,100,100,100,0,0,0,retained
